Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12373,2022-02-24,0.0108120009,0.0722160958,0.0686849294,21,100
Market-Adjusted Model,12376,2022-02-24,0.0571048895,0.1152934024,0.114977818,21,100
Market-Adjusted Model,12377,2022-02-24,-0.275661684,-0.252366748,-0.217788755,21,100
Market-Adjusted Model,12380,2022-02-24,-0.263473072,-0.212136713,-0.205600143,21,100
Market-Adjusted Model,12385,2022-02-24,-0.150649339,-0.102107679,-0.09277641,21,100
Market-Adjusted Model,12391,2022-02-24,0.1922790753,0.2395522756,0.2501520039,21,100
Market-Adjusted Model,12397,2022-02-24,0.1589743299,0.2206710637,0.2168472584,21,100
Market-Adjusted Model,12400,2022-02-24,-0.169295679,-0.113413066,-0.111422751,21,100
Market-Adjusted Model,12411,2022-02-24,-0.02523663,0.0573940484,0.0326362981,21,100
Market-Adjusted Model,12412,2022-02-24,-0.042687659,0.014612541,0.0151852691,21,100
Market-Adjusted Model,12413,2022-02-24,0.013677835,0.0572903385,0.0581690016,17,100
Market-Adjusted Model,12431,2022-02-24,-0.060147316,0.0000401402,-0.002274388,21,100
Market-Adjusted Model,12437,2022-02-24,0.1199671413,0.1785357737,0.1778400698,21,100
Market-Adjusted Model,12442,2022-02-24,-0.365932298,-0.37254951,-0.30805937,21,100
Market-Adjusted Model,12443,2022-02-24,0.4913600911,0.4810357162,0.5492330196,21,100
Market-Adjusted Model,12447,2022-02-24,0.2708719959,0.309103145,0.3287449244,21,100
Market-Adjusted Model,12448,2022-02-24,-0.07515535,-0.013058192,-0.017282422,21,100
Market-Adjusted Model,12449,2022-02-24,-0.022939849,0.0402373444,0.0349330799,21,100
Market-Adjusted Model,12452,2022-02-24,-0.30666669,-0.259096452,-0.248793762,21,100
Market-Adjusted Model,12453,2022-02-24,0.0242309965,0.0807442496,0.082103925,21,100
Market-Adjusted Model,12457,2022-02-24,-0.037463414,0.0210825406,0.0204095146,21,100
Market-Adjusted Model,12461,2022-02-24,-0.046988095,0.0102592713,0.0108848338,21,100
Market-Adjusted Model,12462,2022-02-24,0.0432530542,0.1005588454,0.1011259827,21,100
Market-Adjusted Model,12463,2022-02-24,0.0206170168,0.0773205709,0.0784899453,21,100
Market-Adjusted Model,12472,2022-02-24,-0.104503102,-0.049187603,-0.046630174,21,100
Market-Adjusted Model,12473,2022-02-24,-0.078133575,-0.020387373,-0.020260647,21,100
Market-Adjusted Model,12476,2022-02-24,0.1339300167,0.1858850278,0.1918029453,21,100
Market-Adjusted Model,12477,2022-02-24,-0.06452726,-0.004954216,-0.006654332,21,100
Market-Adjusted Model,12480,2022-02-24,0.0090057746,0.0672768186,0.0668787031,21,100
Market-Adjusted Model,12487,2022-02-24,0.0134146137,0.0742061622,0.0712875422,21,100
Market-Adjusted Model,12488,2022-02-24,0.1082621483,0.2323915115,0.1661350768,21,100
Market-Adjusted Model,12490,2022-02-24,-0.081321264,-0.026224033,-0.023448335,21,100
Market-Adjusted Model,12495,2022-02-24,-0.395927588,-0.395261114,-0.338054659,21,100
Market-Adjusted Model,12497,2022-02-24,-0.083832324,-0.022197288,-0.025959396,21,100
Market-Adjusted Model,12500,2022-02-24,0.1535947837,0.2652086971,0.2114677122,21,100
Market-Adjusted Model,12502,2022-02-24,0.0358834255,0.1036491792,0.093756354,21,100
Market-Adjusted Model,12505,2022-02-24,-0.097204805,-0.042107248,-0.039331876,21,100
Market-Adjusted Model,12508,2022-02-24,-0.086475263,-0.030788759,-0.028602335,21,100
Market-Adjusted Model,12510,2022-02-24,0.0191818242,0.0795751875,0.0770547527,21,100
Market-Adjusted Model,12513,2022-02-24,0.0558929596,0.1131356663,0.1137658881,21,100
Market-Adjusted Model,12514,2022-02-24,-0.034912433,0.0226758836,0.0229604958,21,100
Market-Adjusted Model,12515,2022-02-24,-0.06447969,-0.002849431,-0.006606762,21,100
Market-Adjusted Model,12516,2022-02-24,-0.056170689,-0.000174151,0.0017022393,21,100
